Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
S009_BJ20190416036PTS-d_atdna_wesplus_24508_S9_L001_R1_001	38.6329	0.953848	31846496283.0	252249116.0	0.471329	99.28544223449603	47.263536809625165
S009_BJ20190416149PES-8_ffpedna_wesplus_26011_S9_L001_R1_001	48.3757	0.966544	17076687839.0	148437836.0	0.536148	99.34313181606952	71.4550963970363
S009_SZ20191229056PES-7_ffpedna_wesplus_38749_S88_L002_R1_001	33.4019	0.960864	24921892837.0	205219252.0	0.524519	98.81813807998037	63.1352916634573
S010_BJ20190416037PES-2_ffpedna_wesplus_24509_S10_L001_R1_001	41.1719	0.957601	38303521031.0	291348456.0	0.478302	99.28573731270815	38.15540878235136
S010_SZ20191229057PES-3_ffpedna_wesplus_38750_S89_L002_R1_001	34.144400000000005	0.959784	31563088312.0	239821058.0	0.509851	99.00999524240535	41.49098552690974
S011_BJ20190416038PTS-5_atdna_wesplus_24510_S11_L001_R1_001	40.643299999999996	0.956105	32138541764.0	249253954.0	0.468874	99.25270370429186	46.0130226082644
S011_SZ20200107044PES-8_ffpedna_wesplus_38751_S90_L002_R1_001	32.6659	0.959044	28074789917.0	205295200.0	0.492776	98.97398554764753	26.032549636132174
S012_BJ20190416039PES-4_ffpedna_wesplus_24511_S12_L001_R1_001	41.255199999999995	0.959051	32849299211.0	267535322.0	0.512307	99.06709117426684	55.86417485827296
S012_SZ20191229058PES-0_ffpedna_wesplus_38752_S91_L002_R1_001	33.7503	0.95825	28163613288.0	210922970.0	0.50708	98.9378561838146	32.694616189332
S013_BJ20190416040PTS-a_atdna_wesplus_24512_S13_L001_R1_001	38.0535	0.959033	35983374150.0	275698994.0	0.482921	99.32868765925794	40.62856676676095
S014_BJ20190416041PES-2_ffpedna_wesplus_24513_S14_L001_R1_001	40.712199999999996	0.961108	40674302038.0	317019668.0	0.508833	99.25450962438194	46.88467344646664
S015_BJ20190416006PTS-7_atdna_wesplus_24374_S1_L002_R1_001	39.0128	0.949979	25365444176.0	200133016.0	0.497812	99.03825519997686	47.867975488646195
S015_BJ20190416042PTS-0_atdna_wesplus_24514_S15_L001_R1_001	40.5022	0.954349	34937930196.0	279166352.0	0.46099	99.23458871355443	52.97844369210757
S016_BJ20190416011PES-b_ffpedna_wesplus_24375_S2_L002_R1_001	38.0429	0.946742	23190840293.0	176768684.0	0.490756	99.09932023426073	35.503039507594536
S016_BJ20190416043PES-e_ffpedna_wesplus_24515_S16_L001_R1_001	42.5319	0.957544	39357079723.0	309256346.0	0.469481	99.28795192123012	47.5711894615012
S017_BJ20190416012PTS-6_atdna_wesplus_24376_S3_L002_R1_001	38.926500000000004	0.952923	28374027934.0	209990570.0	0.500241	99.20878105550278	27.39537579200627
S018_BJ20190416018PTS-6_atdna_wesplus_24377_S4_L002_R1_001	37.648399999999995	0.954241	28013689224.0	205787062.0	0.495024	99.17469800899819	24.500532916792693
S019_BJ20190416021PES-3_ffpedna_wesplus_24378_S5_L002_R1_001	42.305	0.954612	39084597714.0	312644342.0	0.527048	99.09477307181062	53.79477694122012
S020_BJ20190416022PTS-e_atdna_wesplus_24379_S6_L002_R1_001	39.566	0.954939	38579701631.0	298722880.0	0.507557	99.2053578665942	45.30351512225508
S021_BJ20190416023PES-e_ffpedna_wesplus_24380_S7_L002_R1_001	36.2717	0.957095	25923039799.0	212806218.0	0.526097	99.17067128008074	59.95539780257635
S022_BJ20190416024PTS-6_atdna_wesplus_24381_S8_L002_R1_001	37.174099999999996	0.953496	24886159598.0	213539370.0	0.506245	99.21201620235408	67.43267173674367
S023_BJ20190416087PES-7_ffpedna_wesplus_24382_S9_L002_R1_001	34.3012	0.954116	33001191210.0	246645292.0	0.510554	99.23934017973524	31.632458074330412
S023_BJ20190424001PES-c_ffpedna_wesplus_25390_S1_L002_R1_001	38.4663	0.95528	31159736594.0	262890956.0	0.514621	99.08993113740331	62.67253011772266
S024_BJ20190416088PTS-6_atdna_wesplus_24383_S10_L002_R1_001	35.364200000000004	0.952566	25427777955.0	195930582.0	0.470807	99.34242436432623	43.82731674003558
S024_BJ20190424002PES-8_ffpedna_wesplus_25391_S2_L002_R1_001	36.2177	0.955385	31974755044.0	251983780.0	0.52015	99.03608965132092	49.17530994926597
S025_BJ20190416052PTS-a_atdna_wesplus_24524_S9_L002_R1_001	39.9771	0.950211	33102821720.0	251440436.0	0.456476	99.26438600950335	39.48351515678562
S025_BJ20190416089PES-3_ffpedna_wesplus_24384_S11_L002_R1_001	35.8444	0.95337	23452473469.0	181149476.0	0.507897	99.17530038103682	41.74337641482885
S025_BJ20190424003PTS-e_atdna_wesplus_25392_S3_L002_R1_001	38.6409	0.955998	30046107858.0	242225116.0	0.499908	98.99245933858839	55.05517762865731
S026_BJ20190416057PES-7_ffpedna_wesplus_24525_S10_L002_R1_001	35.795	0.956491	31381890718.0	232486672.0	0.501011	99.25579162995592	31.699666946776162
S026_BJ20190416090PTS-6_atdna_wesplus_24385_S12_L002_R1_001	37.2007	0.953018	24723018093.0	203059584.0	0.49013	99.23758926233205	56.98569891824551
S026_BJ20190424011PTS-d_atdna_wesplus_25393_S4_L002_R1_001	34.9306	0.955463	27221148746.0	218071704.0	0.477685	99.20887014904626	54.476556581697125
S026_SZ20200107043PES-4_ffpedna_wesplus_39583_S78_L004_R1_001	44.0527	0.953719	15075851041.0	124166996.0	0.502315	97.54162603381346	63.058726444290045
S027_BJ20190416058PTS-2_atdna_wesplus_24526_S11_L002_R1_001	36.375299999999996	0.953977	26926411853.0	206742984.0	0.466746	99.32522279055206	43.546123317657084
